CourseName,"Lattitude, Longitude",Address
Morley Field,"32.736746745572255, -117.1357087692455","3090 Pershing Dr, San Diego, CA 92103"
Kit Carson Park,"33.07931203284073, -117.05866057718245","3333 Bear Valley Pkwy, Escondido, CA 92025"
Golden Gate Park,"37.77117734135139, -122.48598470957077","99 Marx Meadow Dr, San Francisco, CA 94121"
Lagoon Valley,"38.32997004603758, -122.01051771083515","La Costa Dr, Vacaville, CA 95687"
Hillcrest Park,"37.99732439324254, -122.04465036718632","Olivera Rd & Grant St, Olivera Rd, Concord, CA 94520"
Walden Park,"37.921639704910426, -122.05719018068085","2698 Oak Rd, Walnut Creek, CA 94597"
Mast Park,"32.84563802934176, -116.99377328458633","9125 Carlton Hills Blvd, Santee, CA 92071"
Aquatic Park,"37.86071600572489, -122.29973223048322","Aquatic Park Path, Berkeley, CA 94710"
Benicia Community Park,"38.087854152733556, -122.15681683430118","540 Rose Dr, Benicia, CA 94510"
Oyster Bay Disc Golf Course,"37.704774344035016, -122.19624090952608","1600 Neptune Dr, San Leandro, CA 94577"
Hanns Park,"38.121756558545194, -122.22250009787055","198 Skyline Dr, Vallejo, CA 94591"
New Hogan Dam West,"38.16487764385257, -120.80093963982472","95252 New Hogan Pkwy, Valley Springs, CA 95252"
New Hogan Dam East,"38.1648896009005, -120.80019444939566","95252 New Hogan Pkwy, Valley Springs, CA 95252"
Moraga Commons Park,"37.841313941731464, -122.12637293683267","Central Contra Costa, 1077 Moraga Rd, Moraga, CA 94556"
Chavez Ridge at Elysian,"34.08073986490939, -118.23357988499178","Solano Canyon Dr &, Park Row Dr, Los Angeles, CA 90012"
La Mirada Regional Park Back,"33.90599812655453, -118.00442496734907","13701 Adelfa Dr, La Mirada, CA 90638"
Lake Chabot Golf Course,"37.73953077284745, -122.11934568082158","11450 Golf Links Rd, Oakland, CA 94605"
Creekside Park,"37.92269661381469, -121.71401979478784","1010 Claremont Dr, Brentwood, CA 94513"
DeLaveaga Disc Golf Course,"37.00568822665097, -121.99578338169333","1468 Upper Park Rd, Santa Cruz, CA 95065"
Monarch Bay,"37.6950586336528, -122.18543811621106","13800 Monarch Bay Dr, San Leandro, CA 94577"
Rosa Park,"38.46128678371961, -122.7726519401837","1701 Fulton Rd, Santa Rosa, CA 95403"
Taylor Mountain,"38.415561247605226, -122.6921813653152","2080 Kawana Terrace, Santa Rosa, CA 95404"
Kelley Park Disc Golf,"37.32179400924278, -121.85519194419716","Phelan Ave, San Jose, CA 95112"
Hume Lake Christian Camp,"36.787802227202455, -118.91416508941153","64144 Hume Lake Rd, Hume, CA 93628"
